,Factor1,Factor2
i1,0.13109085591771438,0.5519225207092692
i2,0.5868209550751873,-0.1297861986742671
i3,0.36592295944411823,0.3546550206822527
i4,0.7133531260555155,0.047482013390389245
i5,0.630917106672223,-0.03548818311659937
i6,-0.12727749880999217,0.2352596050651211
i7,-0.1349822176191893,0.8350270907028107
i8,0.4525091664458077,0.3018406570555987
i9,0.32975477133851383,-0.005744833953052031
i10,0.49295011197468314,0.10199271694824572
i11,0.6444761698060876,-0.2011285369948807
i12,0.5233702313474283,0.24552916929085541
i13,0.12418061811062153,0.5402544109832451
i14,0.19195093301317517,0.19577362849790636
i15,0.7202428440704126,0.003674388718576951
i16,0.49935733271429916,0.08457766102087381
i17,0.08752758867179586,0.6043306631146099
i18,0.4625909316227844,0.19034133060129324
i19,0.4625957089197345,0.1139000961827775
i20,0.35739311344928704,0.3163408711810531
i21,-0.10676450629185674,0.6737626856075135
i22,0.32117100412670735,0.2582206738407284
i23,0.5639283957745747,0.005603924050170458
i24,0.6392680546185328,-0.12997271485322334
i25,0.015421041732880909,0.6884136038092079
i26,0.33239896046346423,0.10769324453988213
i27,0.41845442399498456,-0.10358769199590802
i28,0.24309977828818488,0.46393550357485414
i29,0.3580555365540629,0.021730338169801633
